,0,1,2,3,4,5
0,run_0,FD003-->FD001,33.02677974700928,34538.46712207997,19.33334274291992,1205.363302112098
1,run_0,FD003-->FD002,33.00681253579947,270078.37869092455,23.625242233276367,21268.051290716085
2,run_0,FD003-->FD004,27.10618200302124,113835.0557521247,26.41234203338623,87611.8997487583
3,FD003-->FD001,mean,19.33+\-0.00,,,
4,FD003-->FD001,std,1205.36+\-0.00,,,
5,FD003-->FD002,mean,23.63+\-0.00,,,
6,FD003-->FD002,std,21268.05+\-0.00,,,
7,FD003-->FD004,mean,26.41+\-0.00,,,
8,FD003-->FD004,std,87611.90+\-0.00,,,
9,FD003-->FD001,19.33,0.00,1205.36,0.00,
10,FD003-->FD002,23.63,0.00,21268.05,0.00,
11,FD003-->FD004,26.41,0.00,87611.90,0.00,
