,0,1,2,3,4,5
0,run_0,FD001-->FD002,20.76631395633404,5065.674680075722,20.004011227534367,4328.83528739706
1,mean,0, 20.77,5065.67, 20.00,4328.84
2,std,0,0,0,0.00,0.00
3,run_0,FD001-->FD003,48.52335205078125,23762.097804887904,37.83750534057617,16243.911516188926
4,mean,0, 48.52,23762.10, 37.84,16243.91
5,std,0,0,0,0.00,0.00
6,run_0,FD001-->FD004,34.14751594543457,12518.818609145696,31.594552841186523,9395.641558307763
7,mean,0, 34.15,12518.82, 31.59,9395.64
8,std,0,0,0,0.00,0.00
9,run_0,FD002-->FD001,15.47949938774109,657.2163912411256,14.295837306976319,455.50922345832515
10,mean,0, 15.48,657.22, 14.30,455.51
11,std,0,0,0,0.00,0.00
12,run_0,FD002-->FD003,33.98748588562012,3504.47279349953,33.91706027984619,3626.2634047749657
13,mean,0, 33.99,3504.47, 33.92,3626.26
14,std,0,0,0,0.00,0.00
15,run_0,FD002-->FD004,36.08407424926758,12715.064221750425,35.45535011291504,12150.175244489625
16,mean,0, 36.08,12715.06, 35.46,12150.18
17,std,0,0,0,0.00,0.00
18,run_0,FD003-->FD001,33.02677974700928,34538.46712207997,18.40859317779541,1045.0110216167932
19,mean,0, 33.03,34538.47, 18.41,1045.01
20,std,0,0,0,0.00,0.00
21,run_0,FD003-->FD002,33.00681253579947,270078.37869092455,25.38962881381695,12363.8375961606
22,mean,0, 33.01,270078.38, 25.39,12363.84
23,std,0,0,0,0.00,0.00
24,run_0,FD003-->FD004,27.10618200302124,113835.0557521247,26.309306602478028,74951.88882253763
25,mean,0, 27.11,113835.06, 26.31,74951.89
26,std,0,0,0,0.00,0.00
27,run_0,FD004-->FD001,39.29979343414307,161724.2675634438,38.09687557220459,134791.6523829167
28,mean,0, 39.30,161724.27, 38.10,134791.65
29,std,0,0,0,0.00,0.00
30,run_0,FD004-->FD002,31.310645250173714,96527.06349656325,28.96658156468318,61440.96023370877
31,mean,0, 31.31,96527.06, 28.97,61440.96
32,std,0,0,0,0.00,0.00
33,run_0,FD004-->FD003,19.259139823913575,1861.0055447757952,14.627590465545655,788.4098338088887
34,mean,0, 19.26,1861.01, 14.63,788.41
35,std,0,0,0,0.00,0.00
36,FD001-->FD002,RMSE,20.00±0.00,,,
37,FD001-->FD002,Score,4328.84±0.00,,,
38,FD001-->FD003,RMSE,37.84±0.00,,,
39,FD001-->FD003,Score,16243.91±0.00,,,
40,FD001-->FD004,RMSE,31.59±0.00,,,
41,FD001-->FD004,Score,9395.64±0.00,,,
42,FD002-->FD001,RMSE,14.30±0.00,,,
43,FD002-->FD001,Score,455.51±0.00,,,
44,FD002-->FD003,RMSE,33.92±0.00,,,
45,FD002-->FD003,Score,3626.26±0.00,,,
46,FD002-->FD004,RMSE,35.46±0.00,,,
47,FD002-->FD004,Score,12150.18±0.00,,,
48,FD003-->FD001,RMSE,18.41±0.00,,,
49,FD003-->FD001,Score,1045.01±0.00,,,
50,FD003-->FD002,RMSE,25.39±0.00,,,
51,FD003-->FD002,Score,12363.84±0.00,,,
52,FD003-->FD004,RMSE,26.31±0.00,,,
53,FD003-->FD004,Score,74951.89±0.00,,,
54,FD004-->FD001,RMSE,38.10±0.00,,,
55,FD004-->FD001,Score,134791.65±0.00,,,
56,FD004-->FD002,RMSE,28.97±0.00,,,
57,FD004-->FD002,Score,61440.96±0.00,,,
58,FD004-->FD003,RMSE,14.63±0.00,,,
59,FD004-->FD003,Score,788.41±0.00,,,
60,FD001-->FD002,20.00,0.00,4328.84,0.00,
61,FD001-->FD003,37.84,0.00,16243.91,0.00,
62,FD001-->FD004,31.59,0.00,9395.64,0.00,
63,FD002-->FD001,14.30,0.00,455.51,0.00,
64,FD002-->FD003,33.92,0.00,3626.26,0.00,
65,FD002-->FD004,35.46,0.00,12150.18,0.00,
66,FD003-->FD001,18.41,0.00,1045.01,0.00,
67,FD003-->FD002,25.39,0.00,12363.84,0.00,
68,FD003-->FD004,26.31,0.00,74951.89,0.00,
69,FD004-->FD001,38.10,0.00,134791.65,0.00,
70,FD004-->FD002,28.97,0.00,61440.96,0.00,
71,FD004-->FD003,14.63,0.00,788.41,0.00,
