,0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,run_0,FD001-->FD002,20.76631396,5065.67468,19.92345729,4299.476416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,run_1,FD001-->FD002,20.76631396,5065.67468,19.51165478,4629.518771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,run_2,FD001-->FD002,20.76631396,5065.67468,20.11311821,5220.400558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,run_3,FD001-->FD002,20.76631396,5065.67468,20.55472081,5294.668487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,run_4,FD001-->FD002,20.76631396,5065.67468,20.02114391,4164.047683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,run_5,FD001-->FD002,20.76631396,5065.67468,20.13493905,4133.683247,,,,FD001-->FD002,20.76631396,5065.67468,20.13493905,4133.683247,,FD001-->FD003,48.52335205,23762.0978,39.50320206,10320.1258,,FD001-->FD004,34.14751595,12518.81861,32.42317787,14057.07462,,,,,,,,,,,
6,run_6,FD001-->FD002,20.76631396,5065.67468,19.63016404,4537.147891,,,,FD001-->FD002,20.76631396,5065.67468,19.63016404,4537.147891,,FD001-->FD003,48.52335205,23762.0978,40.25779209,11459.77002,,FD001-->FD004,34.14751595,12518.81861,31.57917511,11173.54009,,,,,,,,,,,
7,run_7,FD001-->FD002,20.76631396,5065.67468,20.11293884,4283.827994,,,,FD001-->FD002,20.76631396,5065.67468,20.11293884,4283.827994,,FD001-->FD003,48.52335205,23762.0978,39.68525181,10434.01609,,FD001-->FD004,34.14751595,12518.81861,31.64706688,12732.19088,,,,,,,,,,,
8,run_8,FD001-->FD002,20.76631396,5065.67468,19.93122904,4106.17496,,,,FD001-->FD002,20.76631396,5065.67468,19.93122904,4106.17496,,FD001-->FD003,48.52335205,23762.0978,39.82345924,11017.04901,,FD001-->FD004,34.14751595,12518.81861,31.58407791,11368.63986,,,,,,,,,,,
9,run_9,FD001-->FD002,20.76631396,5065.67468,19.55639183,5069.265261,,,,FD001-->FD002,20.76631396,5065.67468,19.55639183,5069.265261,,FD001-->FD003,48.52335205,23762.0978,39.45411682,10326.32156,,FD001-->FD004,34.14751595,12518.81861,31.66704674,12513.9289,,,,,,,,,,,
10,mean,0,20.77,5065.67,19.95,4573.82,,,,,,,19.87,4426.019871,,,,,39.74,10711.4565,,,,,31.78,12369.07487,,,,,,,,,,,
11,std,0,0,0,0.3,439.01,,,,,,,0.27,398.1501187,,,,,0.32,507.8882091,,,,,0.36,1165.370402,,,,,,,,,,,
12,run_0,FD001-->FD003,48.52335205,23762.0978,39.72486534,10619.13298,,,,FD002-->FD001,15.47949939,657.2163912,14.31360979,458.5682305,,FD002-->FD003,33.98748589,3504.472793,33.12271023,3848.933287,,FD002-->FD004,36.08407425,12715.06422,34.52622475,12790.19502,,,,,,,,,,,
