,0,1,2,3,4,5
0,run_0,FD001-->FD002,20.76631396,5065.67468,19.59716357,4395.515545
1,mean,0,0,0,19.6,4395.52
2,std,0,0,0,0,0
3,run_0,FD001-->FD003,48.52335205,23762.0978,38.00046692,8921.206903
4,mean,0,0,0,38,8921.21
5,std,0,0,0,0,0
6,run_0,FD001-->FD004,34.14751595,12518.81861,32.18286926,17652.51559
7,mean,0,0,0,32.18,17652.52
8,std,0,0,0,0,0
9,run_0,FD002-->FD001,15.47949939,657.2163912,14.06329346,369.991976
10,mean,0,0,0,14.06,369.99
11,std,0,0,0,0,0
12,run_0,FD002-->FD003,33.98748589,3504.472793,32.08202171,3750.658219
13,mean,0,0,0,32.08,3750.66
14,std,0,0,0,0,0
15,run_0,FD002-->FD004,36.08407425,12715.06422,35.60673462,18527.55288
16,mean,0,0,0,35.61,18527.55
17,std,0,0,0,0,0
18,run_0,FD003-->FD001,33.02677975,34538.46712,19.89276114,1387.995341
19,mean,0,0,0,19.89,1388
20,std,0,0,0,0,0
21,run_0,FD003-->FD002,33.00681254,270078.3787,25.19109796,18957.10867
22,mean,0,0,0,25.19,18957.11
23,std,0,0,0,0,0
24,run_0,FD003-->FD004,27.106182,113835.0558,26.33274002,81670.72988
25,mean,0,0,0,26.33,81670.73
26,std,0,0,0,0,0
27,run_0,FD004-->FD001,39.29979343,161724.2676,37.85761528,120306.5908
28,mean,0,0,0,37.86,120306.59
29,std,0,0,0,0,0
30,run_0,FD004-->FD002,31.31064525,96527.0635,28.85751042,63768.03556
31,mean,0,0,0,28.86,63768.04
32,std,0,0,0,0,0
33,run_0,FD004-->FD003,19.25913982,1861.005545,14.02598877,402.1705392
34,mean,0,0,0,14.03,402.17
35,std,0,0,0,0,0
36,FD001-->FD002,mean,19.60+\-0.00,,,
37,FD001-->FD002,std,4395.52+\-0.00,,,
38,FD001-->FD003,mean,38.00+\-0.00,,,
39,FD001-->FD003,std,8921.21+\-0.00,,,
40,FD001-->FD004,mean,32.18+\-0.00,,,
41,FD001-->FD004,std,17652.52+\-0.00,,,
42,FD002-->FD001,mean,14.06+\-0.00,,,
43,FD002-->FD001,std,369.99+\-0.00,,,
44,FD002-->FD003,mean,32.08+\-0.00,,,
45,FD002-->FD003,std,3750.66+\-0.00,,,
46,FD002-->FD004,mean,35.61+\-0.00,,,
47,FD002-->FD004,std,18527.55+\-0.00,,,
48,FD003-->FD001,mean,19.89+\-0.00,,,
49,FD003-->FD001,std,1388.00+\-0.00,,,
50,FD003-->FD002,mean,25.19+\-0.00,,,
51,FD003-->FD002,std,18957.11+\-0.00,,,
52,FD003-->FD004,mean,26.33+\-0.00,,,
53,FD003-->FD004,std,81670.73+\-0.00,,,
54,FD004-->FD001,mean,37.86+\-0.00,,,
55,FD004-->FD001,std,120306.59+\-0.00,,,
56,FD004-->FD002,mean,28.86+\-0.00,,,
57,FD004-->FD002,std,63768.04+\-0.00,,,
58,FD004-->FD003,mean,14.03+\-0.00,,,
59,FD004-->FD003,std,402.17+\-0.00,,,
60,FD001-->FD002,19.6,0,4395.52,0,
61,FD001-->FD003,38,0,8921.21,0,
62,FD001-->FD004,32.18,0,17652.52,0,
63,FD002-->FD001,14.06,0,369.99,0,
64,FD002-->FD003,32.08,0,3750.66,0,
65,FD002-->FD004,35.61,0,18527.55,0,
66,FD003-->FD001,19.89,0,1388,0,
67,FD003-->FD002,25.19,0,18957.11,0,
68,FD003-->FD004,26.33,0,81670.73,0,
69,FD004-->FD001,37.86,0,120306.59,0,
70,FD004-->FD002,28.86,0,63768.04,0,
71,FD004-->FD003,14.03,0,402.17,0,
,,26.97416667,,28342.5075,,
