,0,1,2,3,4,5,,,,,
0,run_0,FD001-->FD002,20.76631396,5065.67468,19.60006424,4391.949681,,,,,
1,run_1,FD001-->FD002,20.76631396,5065.67468,19.73962347,4332.462863,,,,,
2,run_2,FD001-->FD002,20.76631396,5065.67468,20.10707081,4019.969659,,,,,
3,run_3,FD001-->FD002,20.76631396,5065.67468,19.80934396,4362.714604,,,,,
4,run_4,FD001-->FD002,20.76631396,5065.67468,19.64249897,4260.901518,,,,,
5,run_5,FD001-->FD002,20.76631396,5065.67468,19.39355513,4542.553831,,,,,
6,run_6,FD001-->FD002,20.76631396,5065.67468,19.79025048,4330.377155,,,,,
7,run_7,FD001-->FD002,20.76631396,5065.67468,20.6630808,3855.867713,,,,,
8,run_8,FD001-->FD002,20.76631396,5065.67468,20.59069799,4949.240919,,,,,
9,run_9,FD001-->FD002,20.76631396,5065.67468,20.88896062,3575.401934,,,,,
10,mean,0,0,0,20.02,4262.14,,,,,
11,std,0,0,0,0.49,358.14,,,,,
12,run_0,FD001-->FD003,48.52335205,23762.0978,37.97086048,8778.251727,,,,,
13,run_1,FD001-->FD003,48.52335205,23762.0978,38.6672266,9652.142839,,,,,
14,run_2,FD001-->FD003,48.52335205,23762.0978,37.89407711,8787.249641,,,,,
15,run_3,FD001-->FD003,48.52335205,23762.0978,37.99283981,9036.07405,,,,,
16,run_4,FD001-->FD003,48.52335205,23762.0978,37.76781025,8657.116809,,,,,
17,run_5,FD001-->FD003,48.52335205,23762.0978,37.60825939,8373.179141,,,,,
18,run_6,FD001-->FD003,48.52335205,23762.0978,38.27022018,9247.192533,,,,,
19,run_7,FD001-->FD003,48.52335205,23762.0978,37.88787804,8716.949185,,,,,
20,run_8,FD001-->FD003,48.52335205,23762.0978,38.10431252,9142.95162,,,,,
21,run_9,FD001-->FD003,48.52335205,23762.0978,38.00493851,8941.318875,,,,,
22,mean,0,0,0,38.02,8933.24,,,,,
23,std,0,0,0,0.28,339.42,,,,,
24,run_0,FD001-->FD004,34.14751595,12518.81861,32.46505363,13549.46258,,,,,
25,run_1,FD001-->FD004,34.14751595,12518.81861,32.32134491,16255.37635,,,,,
26,run_2,FD001-->FD004,34.14751595,12518.81861,32.37491188,14381.71811,,,,,
27,run_3,FD001-->FD004,34.14751595,12518.81861,32.69749168,15968.89894,,,,,
28,run_4,FD001-->FD004,34.14751595,12518.81861,32.49727486,15888.41516,,,,,
29,run_5,FD001-->FD004,34.14751595,12518.81861,32.219133,16023.58398,,,,,
30,run_6,FD001-->FD004,34.14751595,12518.81861,31.67854004,14742.00621,,,,,
31,run_7,FD001-->FD004,34.14751595,12518.81861,32.53653458,14450.46391,,,,,
32,run_8,FD001-->FD004,34.14751595,12518.81861,32.02050926,15997.28722,,,,,
33,run_9,FD001-->FD004,34.14751595,12518.81861,32.27636261,12363.50415,,,,,
34,mean,0,0,0,32.31,14962.07,,20.76631396,5065.67468,,
35,std,0,0,0,0.28,1230.36,,48.52335205,23762.0978,,
36,run_0,FD002-->FD001,15.47949939,657.2163912,13.97209492,373.1211042,,34.14751595,12518.81861,,
37,run_1,FD002-->FD001,15.47949939,657.2163912,13.94402499,335.341999,,15.47949939,657.2163912,,
38,run_2,FD002-->FD001,15.47949939,657.2163912,13.63783293,323.8987142,,34.14751595,12518.81861,,
39,run_3,FD002-->FD001,15.47949939,657.2163912,13.68310065,327.949985,,15.47949939,657.2163912,,
40,run_4,FD002-->FD001,15.47949939,657.2163912,13.89970412,339.3519521,,33.02677975,34538.46712,,
41,run_5,FD002-->FD001,15.47949939,657.2163912,13.81631966,374.9303317,,33.00681254,270078.3787,,
42,run_6,FD002-->FD001,15.47949939,657.2163912,13.84160028,352.9586306,,27.106182,113835.0558,,
43,run_7,FD002-->FD001,15.47949939,657.2163912,14.12729702,333.1770363,,39.29979343,161724.2676,,
