,0,1,2,3,4,5
0,run_0,FD003-->FD001,37.269109916687015,49451.16270939581,24.940552043914796,1395.827741086802
1,run_0,FD003-->FD002,39.467606617854194,847183.3539802044,34.49077246739314,79192.8075081645
2,run_0,FD003-->FD004,30.908628883361818,243661.67038818952,30.87814865112305,113114.31731365641
3,FD003-->FD001,mean,24.94+\-0.00,,,
4,FD003-->FD001,std,1395.83+\-0.00,,,
5,FD003-->FD002,mean,34.49+\-0.00,,,
6,FD003-->FD002,std,79192.81+\-0.00,,,
7,FD003-->FD004,mean,30.88+\-0.00,,,
8,FD003-->FD004,std,113114.32+\-0.00,,,
9,FD003-->FD001,24.94,0.00,1395.83,0.00,
10,FD003-->FD002,34.49,0.00,79192.81,0.00,
11,FD003-->FD004,30.88,0.00,113114.32,0.00,
