,0,1,2,3,4,5
0,run_0,FD003-->FD001,37.269109916687015,49451.16270939581,20.625796794891357,1523.837849136676
1,run_0,FD003-->FD002,39.467606617854194,847183.3539802044,38.88022730900691,67845.70402908254
2,run_0,FD003-->FD004,30.908628883361818,243661.67038818952,30.59877243041992,128063.93719105648
3,FD003-->FD001,mean,20.63+\-0.00,,,
4,FD003-->FD001,std,1523.84+\-0.00,,,
5,FD003-->FD002,mean,38.88+\-0.00,,,
6,FD003-->FD002,std,67845.70+\-0.00,,,
7,FD003-->FD004,mean,30.60+\-0.00,,,
8,FD003-->FD004,std,128063.94+\-0.00,,,
9,FD003-->FD001,20.63,0.00,1523.84,0.00,
10,FD003-->FD002,38.88,0.00,67845.70,0.00,
11,FD003-->FD004,30.60,0.00,128063.94,0.00,
