,0,1,2,3,4,5
0,run_0,FD001-->FD002,21.45921373,5379.534663,22.77354251,3919.062576
1,run_1,FD001-->FD002,21.45921373,5379.534663,20.01826011,4699.295441
2,run_2,FD001-->FD002,21.45921373,5379.534663,20.89762625,3953.614353
3,run_3,FD001-->FD002,21.45921373,5379.534663,21.15876781,3949.044565
4,run_4,FD001-->FD002,21.45921373,5379.534663,20.47839344,4758.979973
5,run_5,FD001-->FD002,21.45921373,5379.534663,20.81534463,6671.103504
6,run_6,FD001-->FD002,21.45921373,5379.534663,21.97117182,3277.175736
7,run_7,FD001-->FD002,21.45921373,5379.534663,21.19462758,4120.16182
8,run_8,FD001-->FD002,21.45921373,5379.534663,20.40263348,3870.941901
9,run_9,FD001-->FD002,21.45921373,5379.534663,22.07939023,3704.154678
10,mean,0,0,0,21.18,4292.35
11,std,0,0,0,0.81,894.29
12,run_0,FD001-->FD003,51.20610466,24827.627,46.5067688,275555.521
13,run_1,FD001-->FD003,51.20610466,24827.627,45.60979881,142194.6117
14,run_2,FD001-->FD003,51.20610466,24827.627,46.1439188,201716.1111
15,run_3,FD001-->FD003,51.20610466,24827.627,46.56636143,308526.7297
16,run_4,FD001-->FD003,51.20610466,24827.627,46.61261692,208191.5566
17,run_5,FD001-->FD003,51.20610466,24827.627,46.41656647,261965.2539
18,run_6,FD001-->FD003,51.20610466,24827.627,46.71973362,265758.9664
19,run_7,FD001-->FD003,51.20610466,24827.627,47.24130383,370806.6704
20,run_8,FD001-->FD003,51.20610466,24827.627,46.94978447,306776.0066
21,run_9,FD001-->FD003,51.20610466,24827.627,46.05783901,236213.8533
22,mean,0,0,0,46.48,257770.53
23,std,0,0,0,0.44,61298.67
24,run_0,FD001-->FD004,37.1364399,17733.50411,38.39576302,204969.7514
25,run_1,FD001-->FD004,37.1364399,17733.50411,34.81236565,52299.47464
26,run_2,FD001-->FD004,37.1364399,17733.50411,37.5624971,165552.7592
27,run_3,FD001-->FD004,37.1364399,17733.50411,33.24374641,18834.37793
28,run_4,FD001-->FD004,37.1364399,17733.50411,35.32286697,71524.17033
29,run_5,FD001-->FD004,37.1364399,17733.50411,35.23021294,64803.13227
30,run_6,FD001-->FD004,37.1364399,17733.50411,35.24501244,64162.6812
31,run_7,FD001-->FD004,37.1364399,17733.50411,34.21777306,55072.85763
32,run_8,FD001-->FD004,37.1364399,17733.50411,34.69245628,47103.17166
33,run_9,FD001-->FD004,37.1364399,17733.50411,34.31528839,42952.534
34,mean,0,0,0,35.3,78727.49
35,std,0,0,0,1.47,55730.38
36,run_0,FD002-->FD001,15.14393721,506.3439413,14.87476034,402.9715068
37,run_1,FD002-->FD001,15.14393721,506.3439413,14.26752892,381.0634801
38,run_2,FD002-->FD001,15.14393721,506.3439413,14.28807955,336.7828506
39,run_3,FD002-->FD001,15.14393721,506.3439413,14.59647636,338.545731
40,run_4,FD002-->FD001,15.14393721,506.3439413,14.84421749,323.479858
41,run_5,FD002-->FD001,15.14393721,506.3439413,15.67021866,440.1784037
42,run_6,FD002-->FD001,15.14393721,506.3439413,14.09618745,356.5510695
43,run_7,FD002-->FD001,15.14393721,506.3439413,14.85350361,354.6458767
