,0,1,2,3,4,5,
0,run_0,FD003-->FD001,37.26910992,49451.16271,24.15473938,4373.983863,
1,run_0,FD003-->FD002,47.65195839,1200915.419,40.25900386,78007.37914,
2,run_0,FD003-->FD004,27.95537048,118962.2157,29.6856934,25934.27945,
3,FD003-->FD001,mean,24.15+\-0.00,,,,
4,FD003-->FD001,std,4373.98+\-0.00,,,,
5,FD003-->FD002,mean,40.26+\-0.00,,,,
6,FD003-->FD002,std,78007.38+\-0.00,,,,
7,FD003-->FD004,mean,29.69+\-0.00,,,,
8,FD003-->FD004,std,25934.28+\-0.00,,,,
9,FD003-->FD001,24.15,0,4373.98,0,,30 epoch results
10,FD003-->FD002,40.26,0,78007.38,0,,
11,FD003-->FD004,29.69,0,25934.28,0,,
,,31.36666667,,36105.21333,,,
